fato;filhosJuntos;tempoJuntos;diaSemana;periodo;idade;possuiProfissao;escolaridade;tipoLocal;qtdRegAnt
AMEACA , INJURIA ;N;5;Domingo;MANHA;20;N;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
AMEACA ;N;24;Domingo;TARDE;40;S;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
LESAO CORPORAL DOLOSA , AMEACA , INJURIA ;N;17;Sábado;MANHA;54;S;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
AMEACA , INJURIA ;S;8;Segunda-feira;MANHA;40;S;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
AMEACA , INJURIA REAL ;S;48;Domingo;MANHA;23;N;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
LESAO CORPORAL DOLOSA , AMEACA ;S;144;Domingo;NOITE;35;S;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
AMEACA ;N;29;Domingo;NOITE;41;S;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
INJURIA ;S;120;Segunda-feira;MADRUGADA;26;S;FUNDAMENTAL;VIA URBANA;Entre_1_e_3_registros
LESAO CORPORAL DOLOSA , AMEACA , ESTUPRO ;S;168;Sábado;NOITE;32;S;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
AMEACA , INJURIA ;S;72;Domingo;TARDE;29;N;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
AMEACA , INJURIA ;S;240;Domingo;NOITE;35;N;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
LESAO CORPORAL DOLOSA , AMEACA , INJURIA ;S;120;Domingo;TARDE;26;S;SUPERIOR;RESIDENCIA;Entre_1_e_3_registros
AMEACA ;S;216;Domingo;NOITE;33;N;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
LESAO CORPORAL DOLOSA , AMEACA ;S;144;Domingo;NOITE;35;S;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
AMEACA , INJURIA ;N;72;Domingo;NOITE;27;S;MEDIO;SUPERMERCADO;Entre_1_e_3_registros
LESAO CORPORAL DOLOSA , AMEACA ;S;43;Domingo;TARDE;39;S;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
AMEACA , INJURIA , VIAS DE FATO ;N;96;Domingo;TARDE;55;S;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
AMEACA , INJURIA , VIAS DE FATO , FURTO ;N;84;Domingo;MANHA;47;S;SUPERIOR;RESIDENCIA;Entre_1_e_3_registros
AMEACA , INJURIA ;N;24;Quinta-feira;TARDE;33;S;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
INJURIA REAL ;N;8;Domingo;TARDE;39;S;SUPERIOR;RESIDENCIA;Entre_1_e_3_registros
LESAO CORPORAL DOLOSA ;S;24;Domingo;TARDE;26;N;MEDIO;RESIDENCIA;Entre_1_e_3_registros
AMEACA ;S;144;Domingo;MADRUGADA;40;S;FUNDAMENTAL;RESIDENCIA;Mais_que_3_registros
INJURIA ;S;60;Domingo;MANHA;36;S;SUPERIOR;RESIDENCIA;Mais_que_3_registros
INJURIA REAL ;S;13;Sábado;NOITE;24;N;MEDIO;RESIDENCIA;Entre_1_e_3_registros
INJURIA ;S;252;Sábado;NOITE;40;N;FUNDAMENTAL;RESIDENCIA;Mais_que_3_registros
AMEACA , INJURIA , VIAS DE FATO ;N;24;Sábado;NOITE;16;S;SUPERIOR;RESIDENCIA;Entre_1_e_3_registros
LESAO CORPORAL DOLOSA ;S;144;Sábado;NOITE;32;N;MEDIO;RESIDENCIA;Mais_que_3_registros
AMEACA , INJURIA ;N;12;Sábado;NOITE;28;S;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
AMEACA , INJURIA , VIAS DE FATO ;S;120;Sábado;NOITE;25;N;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
AMEACA , INJURIA ;N;60;Sábado;TARDE;47;S;FUNDAMENTAL;CONDOMINIO RESIDENCIAL;Entre_1_e_3_registros
LESAO CORPORAL DOLOSA , AMEACA ;S;132;Sábado;NOITE;26;S;SUPERIOR;RESIDENCIA;Entre_1_e_3_registros
LESAO CORPORAL DOLOSA , INJURIA ;S;96;Sábado;TARDE;24;N;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
VIAS DE FATO ;S;12;Sábado;NOITE;16;S;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
AMEACA , CALUNIA , DIFAMACAO , INJURIA ;S;216;Sábado;TARDE;44;S;SUPERIOR;RESIDENCIA;Entre_1_e_3_registros
INJURIA ;N;108;Sexta-feira;NOITE;39;S;SUPERIOR;RESIDENCIA;Entre_1_e_3_registros
LESAO CORPORAL DOLOSA , INJURIA ;N;5;Quarta-feira;MANHA;23;S;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
AMEACA , INJURIA ;N;36;Sexta-feira;NOITE;41;S;FUNDAMENTAL;COMERCIO;Entre_1_e_3_registros
AMEACA ;N;168;Quinta-feira;TARDE;45;S;MEDIO;RESIDENCIA;Entre_1_e_3_registros
AMEACA , INJURIA , VIAS DE FATO ;S;120;Sábado;MADRUGADA;26;N;MEDIO;RESIDENCIA;Mais_que_3_registros
INJURIA REAL ;N;72;Sexta-feira;NOITE;25;N;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
INJURIA , VIAS DE FATO ;S;216;Sexta-feira;NOITE;33;N;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
AMEACA ;S;96;Sexta-feira;NOITE;41;S;MEDIO;RESIDENCIA;Entre_1_e_3_registros
AMEACA , INJURIA REAL ;S;240;Quinta-feira;NOITE;35;N;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
AMEACA , DIFAMACAO ;S;180;Sexta-feira;TARDE;45;N;MEDIO;RESIDENCIA;Entre_1_e_3_registros
AMEACA , INJURIA ;N;4;Quinta-feira;MANHA;27;N;MEDIO;RESIDENCIA;Entre_1_e_3_registros
LESAO CORPORAL DOLOSA , AMEACA ;S;204;Sexta-feira;MADRUGADA;42;N;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
INJURIA ;S;240;Sábado;MANHA;44;S;FUNDAMENTAL;RESIDENCIA;Mais_que_3_registros
LESAO CORPORAL DOLOSA , AMEACA , INJURIA ;S;120;Quinta-feira;NOITE;33;S;FUNDAMENTAL;RESIDENCIA;Mais_que_3_registros
LESAO CORPORAL DOLOSA ;N;72;Quinta-feira;NOITE;52;S;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
LESAO CORPORAL DOLOSA ;S;240;Quinta-feira;NOITE;34;N;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
AMEACA , INJURIA , VIAS DE FATO ;S;96;Quinta-feira;NOITE;23;N;SUPERIOR;RESIDENCIA;Entre_1_e_3_registros
AMEACA ;S;11;Quinta-feira;TARDE;24;N;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
AMEACA ;N;36;Terça-feira;MANHA;54;S;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
AMEACA , INJURIA , FURTO ;S;72;Sábado;TARDE;24;S;FUNDAMENTAL;RESIDENCIA;Mais_que_3_registros
INJURIA REAL ;S;72;Quinta-feira;TARDE;24;N;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
DIFAMACAO , INJURIA ;S;120;Quinta-feira;MANHA;27;N;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
LESAO CORPORAL DOLOSA , AMEACA ;N;84;Sábado;TARDE;41;N;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
LESAO CORPORAL DOLOSA , AMEACA , INJURIA , FURTO ;S;48;Terça-feira;NOITE;29;N;SUPERIOR;RESIDENCIA;Entre_1_e_3_registros
INJURIA ;N;33;Sábado;MANHA;75;S;SUPERIOR;RESIDENCIA;Mais_que_3_registros
AMEACA ;N;6;Domingo;TARDE;30;S;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
AMEACA ;N;24;Terça-feira;NOITE;20;S;MEDIO;RESIDENCIA;Entre_1_e_3_registros
LESAO CORPORAL DOLOSA ;N;60;Terça-feira;TARDE;35;S;MEDIO;RESIDENCIA;Entre_1_e_3_registros
AMEACA , INJURIA ;N;96;Quinta-feira;MADRUGADA;55;S;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
INJURIA , LESOES CORPORAIS RECIPROCAS ;N;12;Quarta-feira;NOITE;21;N;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
AMEACA , INJURIA ;S;312;Quarta-feira;NOITE;46;S;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
AMEACA , INJURIA ;S;24;Quarta-feira;NOITE;25;N;FUNDAMENTAL;RESIDENCIA;Mais_que_3_registros
INJURIA ;S;240;Quarta-feira;TARDE;41;S;SUPERIOR;RESIDENCIA;Entre_1_e_3_registros
INJURIA ;S;96;Quarta-feira;TARDE;29;N;MEDIO;RESIDENCIA;Entre_1_e_3_registros
INJURIA ;N;32;Terça-feira;NOITE;67;N;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
AMEACA ;S;84;Quarta-feira;TARDE;29;N;SUPERIOR;RESIDENCIA;Entre_1_e_3_registros
INJURIA , VIAS DE FATO ;S;372;Quarta-feira;TARDE;50;S;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
AMEACA ;N;364;Terça-feira;NOITE;47;N;FUNDAMENTAL;RESIDENCIA;Mais_que_3_registros
INJURIA ;S;276;Segunda-feira;TARDE;55;S;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
INJURIA ;S;204;Quarta-feira;TARDE;40;N;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
LESAO CORPORAL DOLOSA ;S;72;Terça-feira;NOITE;34;N;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
AMEACA , VIAS DE FATO ;S;120;Domingo;MANHA;28;N;MEDIO;RESIDENCIA;Entre_1_e_3_registros
AMEACA , INJURIA REAL ;S;264;Quarta-feira;MADRUGADA;46;S;MEDIO;COMERCIO;Entre_1_e_3_registros
LESOES CORPORAIS RECIPROCAS ;S;60;Quarta-feira;MANHA;23;N;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
INJURIA ;N;60;Terça-feira;MANHA;81;N;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
INJURIA ;S;264;Segunda-feira;NOITE;46;N;FUNDAMENTAL;RESIDENCIA;Mais_que_3_registros
INJURIA ;N;12;Quarta-feira;MANHA;45;S;MEDIO;RESIDENCIA;Entre_1_e_3_registros
LESOES CORPORAIS RECIPROCAS ;N;60;Quarta-feira;MANHA;33;N;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
VIAS DE FATO ;N;60;Quarta-feira;MADRUGADA;63;N;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
INJURIA ;S;60;Terça-feira;TARDE;27;N;MEDIO;RESIDENCIA;Entre_1_e_3_registros
LESAO CORPORAL DOLOSA ;N;60;Terça-feira;TARDE;53;S;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
DIFAMACAO ;S;198;Domingo;TARDE;34;S;SUPERIOR;RESIDENCIA;Entre_1_e_3_registros
AMEACA ;N;7;Terça-feira;TARDE;31;N;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
AMEACA ;S;72;Domingo;NOITE;26;S;MEDIO;RESIDENCIA;Mais_que_3_registros
LESAO CORPORAL DOLOSA ;N;60;Terça-feira;TARDE;18;S;MEDIO;RESIDENCIA;Entre_1_e_3_registros
INJURIA ;N;60;Terça-feira;MANHA;41;S;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
INJURIA REAL ;S;228;Domingo;NOITE;51;N;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
INJURIA ;S;108;Quinta-feira;MADRUGADA;34;S;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
AMEACA , INJURIA ;S;60;Segunda-feira;NOITE;43;S;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
LESAO CORPORAL DOLOSA , INJURIA ;S;240;Quinta-feira;TARDE;48;N;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
INJURIA REAL ;N;12;Segunda-feira;NOITE;40;S;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
LESOES CORPORAIS RECIPROCAS ;N;36;Segunda-feira;NOITE;31;N;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
INJURIA ;N;192;Quinta-feira;NOITE;60;S;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
AMEACA , INJURIA ;N;55;Segunda-feira;TARDE;40;S;MEDIO;RESIDENCIA;Entre_1_e_3_registros
AMEACA , INJURIA ;N;60;Segunda-feira;TARDE;49;N;FUNDAMENTAL;BAR / LANCHONETE / CAFE;Entre_1_e_3_registros
AMEACA , VIAS DE FATO ;N;60;Terça-feira;MANHA;48;N;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
INJURIA ;N;60;Segunda-feira;TARDE;62;N;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
LESAO CORPORAL DOLOSA ;S;60;Domingo;NOITE;28;N;FUNDAMENTAL;PROPRIEDADE RURAL;Entre_1_e_3_registros
LESAO CORPORAL DOLOSA ;N;60;Sábado;NOITE;36;S;SUPERIOR;PIZZARIA / RESTAURANTE;Entre_1_e_3_registros
INJURIA ;S;240;Segunda-feira;MANHA;39;N;MEDIO;COMERCIO;Entre_1_e_3_registros
AMEACA ;N;12;Sexta-feira;TARDE;45;N;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
AMEACA , INJURIA ;S;84;Domingo;TARDE;39;N;MEDIO;RESIDENCIA;Entre_1_e_3_registros
AMEACA , INJURIA ;N;24;Domingo;TARDE;48;S;SUPERIOR;VIA RURAL;Entre_1_e_3_registros
AMEACA , INJURIA ;S;108;Domingo;NOITE;20;N;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
AMEACA , VIAS DE FATO ;N;60;Domingo;NOITE;19;N;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
ESTUPRO , VIAS DE FATO ;S;60;Quinta-feira;NOITE;24;N;SUPERIOR;RESIDENCIA;Entre_1_e_3_registros
AMEACA ;N;228;Segunda-feira;MADRUGADA;39;N;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
INJURIA REAL ;N;108;Domingo;NOITE;23;N;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
AMEACA , INJURIA ;S;14;Domingo;NOITE;31;S;SUPERIOR;VIA URBANA;Entre_1_e_3_registros
LESAO CORPORAL DOLOSA , INJURIA ;S;84;Domingo;NOITE;26;S;MEDIO;RESIDENCIA;Entre_1_e_3_registros
AMEACA ;S;156;Domingo;NOITE;38;N;FUNDAMENTAL;RESIDENCIA;Mais_que_3_registros
LESAO CORPORAL DOLOSA , AMEACA , INJURIA ;S;48;Domingo;NOITE;30;S;FUNDAMENTAL;RESIDENCIA;Mais_que_3_registros
AMEACA , INJURIA ;S;516;Domingo;TARDE;61;S;SUPERIOR;RESIDENCIA;Entre_1_e_3_registros
VIAS DE FATO ;N;36;Domingo;TARDE;32;N;FUNDAMENTAL;VIA URBANA;Entre_1_e_3_registros
AMEACA , INJURIA REAL ;S;120;Domingo;TARDE;27;N;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
AMEACA ;N;96;Domingo;MADRUGADA;25;N;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
AMEACA , INJURIA ;N;24;Sexta-feira;MANHA;38;S;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
LESAO CORPORAL DOLOSA , INJURIA ;S;24;Domingo;TARDE;23;N;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
INJURIA REAL ;S;60;Domingo;TARDE;18;N;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
INJURIA REAL ;S;120;Domingo;MANHA;39;S;SUPERIOR;RESIDENCIA;Entre_1_e_3_registros
INJURIA ;S;240;Domingo;MADRUGADA;43;N;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
INJURIA REAL ;N;18;Domingo;MANHA;17;S;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
LESAO CORPORAL DOLOSA , INJURIA ;S;204;Sábado;TARDE;34;S;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
LESAO CORPORAL DOLOSA ;N;60;Domingo;MADRUGADA;14;S;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
AMEACA ;S;36;Sábado;NOITE;21;N;FUNDAMENTAL;RESIDENCIA;Mais_que_3_registros
LESOES CORPORAIS RECIPROCAS ;N;36;Sábado;NOITE;23;N;SUPERIOR;RESIDENCIA;Entre_1_e_3_registros
LESAO CORPORAL DOLOSA , AMEACA ;S;48;Sábado;NOITE;43;S;SUPERIOR;PROPRIEDADE RURAL;Entre_1_e_3_registros
AMEACA , INJURIA ;N;24;Sexta-feira;TARDE;36;S;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
AMEACA ;S;48;Sábado;TARDE;31;S;MEDIO;RESIDENCIA;Entre_1_e_3_registros
INJURIA REAL ;N;24;Sábado;TARDE;40;S;FUNDAMENTAL;VIA URBANA;Entre_1_e_3_registros
AMEACA , INJURIA REAL ;S;240;Sábado;TARDE;35;N;FUNDAMENTAL;RESIDENCIA;Mais_que_3_registros
AMEACA , INJURIA REAL ;S;168;Sábado;TARDE;29;N;MEDIO;RESIDENCIA;Entre_1_e_3_registros
AMEACA , INJURIA ;S;288;Sábado;TARDE;46;N;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
LESAO CORPORAL DOLOSA ;N;60;Sábado;TARDE;69;N;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
LESAO CORPORAL DOLOSA , AMEACA , INJURIA ;S;24;Sábado;TARDE;35;S;MEDIO;RESIDENCIA;Mais_que_3_registros
LESAO CORPORAL DOLOSA , INJURIA ;S;60;Sexta-feira;NOITE;35;S;FUNDAMENTAL;RESIDENCIA;Mais_que_3_registros
LESAO CORPORAL DOLOSA , AMEACA ;N;2;Sexta-feira;NOITE;17;N;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
LESAO CORPORAL DOLOSA ;S;24;Sábado;MANHA;25;N;FUNDAMENTAL;RESIDENCIA;Mais_que_3_registros
AMEACA , INJURIA ;N;12;Sexta-feira;TARDE;28;S;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
AMEACA , INJURIA ;N;9;Sexta-feira;NOITE;18;N;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
LESAO CORPORAL DOLOSA , INJURIA ;S;36;Sexta-feira;NOITE;26;N;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
INJURIA REAL ;S;60;Sexta-feira;NOITE;40;S;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
LESAO CORPORAL DOLOSA , AMEACA ;S;132;Sexta-feira;NOITE;26;S;MEDIO;RESIDENCIA;Entre_1_e_3_registros
INJURIA ;N;60;Sexta-feira;NOITE;30;S;SUPERIOR;RESIDENCIA;Entre_1_e_3_registros
LESAO CORPORAL DOLOSA , AMEACA , INJURIA ;S;36;Sexta-feira;NOITE;22;N;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
LESAO CORPORAL DOLOSA ;N;60;Sexta-feira;TARDE;51;S;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
AMEACA , VIAS DE FATO ;S;24;Sexta-feira;NOITE;25;S;SUPERIOR;RESIDENCIA;Entre_1_e_3_registros
LESOES CORPORAIS RECIPROCAS ;N;60;Sexta-feira;NOITE;18;N;SUPERIOR;RESIDENCIA;Entre_1_e_3_registros
AMEACA , INJURIA REAL ;S;180;Sexta-feira;TARDE;37;N;FUNDAMENTAL;RESIDENCIA;Mais_que_3_registros
AMEACA ;S;36;Sexta-feira;TARDE;38;S;SUPERIOR;VIA URBANA;Mais_que_3_registros
AMEACA ;N;2;Quinta-feira;NOITE;25;N;FUNDAMENTAL;HOTEL, HOTEL FAZENDA, POUSADA;Entre_1_e_3_registros
AMEACA , INJURIA , VIAS DE FATO ;S;9;Terça-feira;MANHA;21;N;SUPERIOR;RESIDENCIA;Entre_1_e_3_registros
AMEACA ;S;84;Sexta-feira;TARDE;23;S;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
AMEACA , INJURIA REAL ;S;24;Sexta-feira;MANHA;20;S;SUPERIOR;RESIDENCIA;Entre_1_e_3_registros
LESOES CORPORAIS RECIPROCAS ;N;60;Sexta-feira;MANHA;24;N;SUPERIOR;RESIDENCIA;Entre_1_e_3_registros
LESOES CORPORAIS RECIPROCAS ;N;6;Sexta-feira;MADRUGADA;33;S;FUNDAMENTAL;CONDOMINIO RESIDENCIAL;Entre_1_e_3_registros
INJURIA , VIAS DE FATO ;N;8;Sexta-feira;MADRUGADA;24;N;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
AMEACA , VIAS DE FATO ;S;60;Quinta-feira;NOITE;39;N;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
VIAS DE FATO ;S;8;Quinta-feira;NOITE;25;S;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
AMEACA , INJURIA ;N;60;Quinta-feira;NOITE;55;N;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
AMEACA , INJURIA , VIAS DE FATO ;N;5;Quinta-feira;NOITE;19;N;MEDIO;VIA URBANA;Entre_1_e_3_registros
AMEACA , INJURIA ;N;48;Quinta-feira;NOITE;49;S;FUNDAMENTAL;RESIDENCIA;Mais_que_3_registros
AMEACA ;N;60;Domingo;TARDE;42;S;MEDIO;RESIDENCIA;Entre_1_e_3_registros
DIFAMACAO ;S;360;Quinta-feira;TARDE;48;N;FUNDAMENTAL;RESIDENCIA;Mais_que_3_registros
CALUNIA ;S;144;Quinta-feira;MANHA;38;N;FUNDAMENTAL;RESIDENCIA;Mais_que_3_registros
LESAO CORPORAL DOLOSA ;N;60;Terça-feira;NOITE;39;S;FUNDAMENTAL;CONDOMINIO RESIDENCIAL;Entre_1_e_3_registros
INJURIA REAL ;N;108;Quarta-feira;NOITE;41;N;FUNDAMENTAL;RESIDENCIA;Mais_que_3_registros
LESAO CORPORAL DOLOSA ;S;60;Sexta-feira;MADRUGADA;22;N;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
INJURIA ;S;9;Segunda-feira;MADRUGADA;32;S;SUPERIOR;RESIDENCIA;Entre_1_e_3_registros
INJURIA REAL ;N;18;Terça-feira;TARDE;46;S;FUNDAMENTAL;VIA URBANA;Entre_1_e_3_registros
VIAS DE FATO ;S;192;Sexta-feira;MANHA;37;N;FUNDAMENTAL;PONTO OU TERMINAL DE ONIBUS URBANO;Entre_1_e_3_registros
INJURIA REAL ;S;60;Sábado;NOITE;30;N;FUNDAMENTAL;RESIDENCIA;Mais_que_3_registros
AMEACA , INJURIA ;S;36;Segunda-feira;NOITE;31;N;FUNDAMENTAL;RESIDENCIA;Mais_que_3_registros
INJURIA REAL ;N;24;Terça-feira;NOITE;27;S;MEDIO;RESIDENCIA;Entre_1_e_3_registros
AMEACA , INJURIA ;N;2;Quarta-feira;TARDE;20;N;MEDIO;RESIDENCIA;Entre_1_e_3_registros
AMEACA , INJURIA ;S;72;Quinta-feira;MANHA;21;N;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
DIFAMACAO ;S;192;Sexta-feira;MANHA;43;S;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
LESAO CORPORAL DOLOSA , AMEACA , INJURIA ;N;3;Domingo;NOITE;56;S;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
LESAO CORPORAL DOLOSA , INJURIA ;S;120;Quinta-feira;NOITE;27;N;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
INJURIA ;N;8;Sábado;MANHA;21;N;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
