fato;filhosJuntos;tempoJuntos;diaSemana;periodo;idade;possuiProfissao;escolaridade;tipoLocal;qtdRegAnt
INJURIA , VIAS DE FATO ;N;4;Domingo;NOITE;21;N;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
AMEACA , VIAS DE FATO ;N;12;Segunda-feira;NOITE;29;S;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
INJURIA ;S;240;Terça-feira;TARDE;47;N;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
LESAO CORPORAL DOLOSA , AMEACA , INJURIA ;S;132;Quarta-feira;NOITE;33;S;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
AMEACA , INJURIA , VIAS DE FATO ;N;24;Sábado;NOITE;29;S;FUNDAMENTAL;RESIDENCIA;Mais_que_3_registros
INJURIA , VIAS DE FATO ;N;6;Domingo;MANHA;18;N;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
AMEACA , INJURIA ;N;5;Terça-feira;MADRUGADA;20;N;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
AMEACA ;S;48;Quinta-feira;NOITE;22;N;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
AMEACA , INJURIA ;N;36;Sexta-feira;MANHA;39;S;MEDIO;RESIDENCIA;Entre_1_e_3_registros
AMEACA , VIAS DE FATO ;S;156;Sábado;NOITE;38;N;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
AMEACA , INJURIA ;N;192;Domingo;NOITE;34;S;SUPERIOR;RESIDENCIA;Entre_1_e_3_registros
INJURIA REAL ;N;36;Terça-feira;NOITE;27;N;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
DIFAMACAO , VIAS DE FATO , INJURIA REAL ;N;4;Quarta-feira;NOITE;24;N;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
AMEACA , INJURIA , VIAS DE FATO ;S;72;Quinta-feira;NOITE;24;S;FUNDAMENTAL;RESIDENCIA;Mais_que_3_registros
LESAO CORPORAL DOLOSA , INJURIA REAL ;N;6;Sábado;NOITE;38;S;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
LESAO CORPORAL DOLOSA ;N;24;Domingo;TARDE;22;N;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
AMEACA , INJURIA ;N;1;Segunda-feira;TARDE;51;S;SUPERIOR;RESIDENCIA;Entre_1_e_3_registros
LESOES CORPORAIS RECIPROCAS ;N;30;Quinta-feira;TARDE;37;S;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
INJURIA ;N;18;Sábado;NOITE;24;S;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
AMEACA ;S;240;Domingo;TARDE;43;N;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
VIAS DE FATO ;N;24;Segunda-feira;NOITE;38;S;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
LESAO CORPORAL DOLOSA , AMEACA , INJURIA ;N;60;Quarta-feira;MADRUGADA;20;N;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
LESAO CORPORAL DOLOSA , INJURIA ;N;36;Quinta-feira;NOITE;47;N;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
LESAO CORPORAL DOLOSA ;S;120;Sexta-feira;NOITE;32;S;FUNDAMENTAL;VIA URBANA;Entre_1_e_3_registros
INJURIA REAL ;N;18;Domingo;NOITE;22;N;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
AMEACA , INJURIA , VIAS DE FATO ;S;15;Segunda-feira;NOITE;19;N;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
AMEACA ;N;12;Terça-feira;NOITE;31;S;SUPERIOR;RESIDENCIA;Mais_que_3_registros
VIAS DE FATO ;N;144;Quinta-feira;NOITE;37;N;SUPERIOR;RESIDENCIA;Mais_que_3_registros
INJURIA REAL ;N;36;Sábado;TARDE;41;S;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
LESAO CORPORAL DOLOSA , INJURIA ;S;252;Domingo;TARDE;40;N;FUNDAMENTAL;VIA URBANA;Entre_1_e_3_registros
INJURIA ;S;324;Segunda-feira;TARDE;42;N;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
AMEACA , INJURIA ;N;48;Terça-feira;TARDE;30;N;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
LESAO CORPORAL DOLOSA , INJURIA ;N;24;Quarta-feira;MANHA;32;S;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
LESAO CORPORAL DOLOSA , AMEACA , INJURIA ;N;60;Quinta-feira;MANHA;29;S;SUPERIOR;RESIDENCIA;Entre_1_e_3_registros
LESAO CORPORAL DOLOSA ;S;144;Sexta-feira;MADRUGADA;32;S;FUNDAMENTAL;RESIDENCIA;Mais_que_3_registros
AMEACA , INJURIA , VIAS DE FATO ;S;120;Segunda-feira;MANHA;36;S;MEDIO;RESIDENCIA;Entre_1_e_3_registros
AMEACA , INJURIA , VIAS DE FATO , INJURIA REAL ;S;6;Domingo;MANHA;22;N;MEDIO;RESIDENCIA;Entre_1_e_3_registros
LESAO CORPORAL DOLOSA , INJURIA ;N;24;Domingo;TARDE;70;N;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
AMEACA , INJURIA , VIAS DE FATO ;S;36;Terça-feira;MANHA;22;N;FUNDAMENTAL;ACAMPAMENTO - SEM TERRA;Entre_1_e_3_registros
AMEACA , INJURIA , VIAS DE FATO ;S;240;Terça-feira;NOITE;39;S;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
AMEACA , INJURIA REAL ;N;48;Terça-feira;NOITE;53;S;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
VIAS DE FATO ;N;12;Quinta-feira;TARDE;16;N;FUNDAMENTAL;CONDOMINIO RESIDENCIAL;Entre_1_e_3_registros
AMEACA ;N;36;Sexta-feira;MANHA;48;S;SUPERIOR;RESIDENCIA;Mais_que_3_registros
AMEACA ;S;24;Segunda-feira;TARDE;33;S;SUPERIOR;RESIDENCIA;Entre_1_e_3_registros
AMEACA ;N;20;Terça-feira;TARDE;23;S;SUPERIOR;RESIDENCIA;Entre_1_e_3_registros
AMEACA ;N;72;Sábado;MANHA;25;N;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
LESAO CORPORAL DOLOSA , INJURIA ;S;96;Domingo;NOITE;31;N;SUPERIOR;RESIDENCIA;Entre_1_e_3_registros
AMEACA , INJURIA , FURTO ;S;60;Segunda-feira;TARDE;25;S;MEDIO;RESIDENCIA;Entre_1_e_3_registros
AMEACA , INJURIA ;N;8;Quarta-feira;TARDE;35;N;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
AMEACA , INJURIA , VIAS DE FATO ;N;204;Quinta-feira;NOITE;61;S;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
INJURIA ;S;72;Quarta-feira;TARDE;44;S;SUPERIOR;RESIDENCIA;Entre_1_e_3_registros
AMEACA ;N;28;Domingo;NOITE;41;S;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
LESAO CORPORAL DOLOSA , AMEACA , ESTUPRO ;S;168;Sábado;NOITE;32;S;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
AMEACA , INJURIA , FURTO ;S;72;Sábado;TARDE;24;S;FUNDAMENTAL;RESIDENCIA;Mais_que_3_registros
AMEACA ;N;24;Terça-feira;NOITE;20;S;MEDIO;RESIDENCIA;Entre_1_e_3_registros
AMEACA ;S;84;Quarta-feira;MANHA;29;N;SUPERIOR;RESIDENCIA;Entre_1_e_3_registros
INJURIA ;S;216;Segunda-feira;TARDE;55;S;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
INJURIA ;S;108;Quinta-feira;MADRUGADA;34;S;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
AMEACA , INJURIA ;S;60;Segunda-feira;NOITE;43;S;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
AMEACA , INJURIA ;S;108;Domingo;NOITE;20;N;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
AMEACA , INJURIA ;N;24;Sexta-feira;TARDE;36;S;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
AMEACA , INJURIA , VIAS DE FATO ;S;9;Terça-feira;MANHA;21;N;SUPERIOR;RESIDENCIA;Entre_1_e_3_registros
DIFAMACAO ;S;360;Quinta-feira;TARDE;48;N;FUNDAMENTAL;RESIDENCIA;Mais_que_3_registros
DIFAMACAO , FURTO ;S;60;Quarta-feira;MADRUGADA;32;S;MEDIO;RESIDENCIA;Entre_1_e_3_registros
LESAO CORPORAL DOLOSA , INJURIA ;N;84;Quarta-feira;TARDE;36;N;SUPERIOR;RESIDENCIA;Entre_1_e_3_registros
AMEACA , INJURIA ;S;84;Terça-feira;MADRUGADA;38;N;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
AMEACA ;S;48;Terça-feira;MANHA;41;N;FUNDAMENTAL;RESIDENCIA;Mais_que_3_registros
INJURIA ;N;8;Terça-feira;NOITE;36;N;SUPERIOR;RESIDENCIA;Entre_1_e_3_registros
INJURIA ;N;48;Sexta-feira;TARDE;28;S;SUPERIOR;RESIDENCIA;Mais_que_3_registros
INJURIA ;S;30;Segunda-feira;MANHA;15;N;SUPERIOR;RESIDENCIA;Entre_1_e_3_registros
AMEACA ;N;3;Quarta-feira;MADRUGADA;60;S;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
INJURIA REAL ;N;6;Quarta-feira;MADRUGADA;33;N;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
AMEACA , INJURIA ;S;84;Terça-feira;NOITE;31;N;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
INJURIA ;N;120;Terça-feira;NOITE;57;S;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
INJURIA ;S;144;Segunda-feira;TARDE;44;S;SUPERIOR;RESIDENCIA;Entre_1_e_3_registros
AMEACA , INJURIA REAL ;S;108;Segunda-feira;NOITE;45;S;FUNDAMENTAL;RESIDENCIA;Mais_que_3_registros
AMEACA ;S;252;Segunda-feira;MANHA;46;N;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
AMEACA , INJURIA REAL ;N;120;Segunda-feira;NOITE;57;S;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
INJURIA ;N;9;Segunda-feira;TARDE;44;S;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
INJURIA REAL ;S;60;Sexta-feira;NOITE;23;S;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
VIAS DE FATO , FURTO ;N;72;Segunda-feira;NOITE;34;S;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
AMEACA ;N;96;Segunda-feira;NOITE;49;N;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
AMEACA ;S;96;Segunda-feira;NOITE;41;S;MEDIO;RESIDENCIA;Entre_1_e_3_registros
LESAO CORPORAL DOLOSA , INJURIA ;N;24;Sábado;NOITE;45;S;SUPERIOR;RESIDENCIA;Entre_1_e_3_registros
AMEACA ;N;120;Segunda-feira;TARDE;39;S;MEDIO;RESIDENCIA;Entre_1_e_3_registros
AMEACA , INJURIA ;N;12;Domingo;NOITE;29;N;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
AMEACA ;S;60;Segunda-feira;TARDE;30;N;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
INJURIA ;S;60;Segunda-feira;MANHA;41;S;SUPERIOR;RESIDENCIA;Entre_1_e_3_registros
AMEACA , INJURIA ;S;48;Domingo;MANHA;39;N;FUNDAMENTAL;RESIDENCIA;Mais_que_3_registros
INJURIA ;S;72;Domingo;TARDE;22;N;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
AMEACA , INJURIA ;N;24;Segunda-feira;MANHA;30;S;SUPERIOR;RESIDENCIA;Mais_que_3_registros
AMEACA ;S;132;Segunda-feira;MANHA;36;S;SUPERIOR;RESIDENCIA;Mais_que_3_registros
AMEACA ;S;36;Domingo;TARDE;25;S;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
DIFAMACAO ;S;24;Sábado;NOITE;36;S;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
INJURIA REAL ;N;48;Sexta-feira;NOITE;29;S;MEDIO;VIA URBANA;Entre_1_e_3_registros
INJURIA ;N;96;Quinta-feira;NOITE;31;N;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
AMEACA , VIAS DE FATO ;N;144;Domingo;NOITE;36;S;SUPERIOR;RESIDENCIA;Entre_1_e_3_registros
LESAO CORPORAL DOLOSA , AMEACA ;S;5;Domingo;TARDE;29;S;MEDIO;RESIDENCIA;Entre_1_e_3_registros
INJURIA , VIAS DE FATO ;S;60;Domingo;MANHA;23;N;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
LESAO CORPORAL DOLOSA , FURTO ;S;120;Domingo;NOITE;38;S;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
LESAO CORPORAL DOLOSA , AMEACA ;S;27;Domingo;NOITE;19;N;SUPERIOR;VIA URBANA;Mais_que_3_registros
AMEACA ;S;8;Terça-feira;TARDE;42;S;SUPERIOR;RESIDENCIA;Entre_1_e_3_registros
AMEACA , INJURIA ;S;192;Quarta-feira;MANHA;31;N;FUNDAMENTAL;RESIDENCIA;Mais_que_3_registros
AMEACA ;N;48;Quinta-feira;MANHA;42;S;MEDIO;RESIDENCIA;Entre_1_e_3_registros
LESOES CORPORAIS RECIPROCAS ;N;60;Sexta-feira;MANHA;35;S;FUNDAMENTAL;VIA URBANA;Entre_1_e_3_registros
LESAO CORPORAL DOLOSA ;S;288;Domingo;NOITE;48;S;MEDIO;RESIDENCIA;Entre_1_e_3_registros
VIAS DE FATO ;S;120;Segunda-feira;NOITE;28;S;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
LESAO CORPORAL DOLOSA , INJURIA ;S;120;Quinta-feira;NOITE;36;S;SUPERIOR;VIA URBANA;Entre_1_e_3_registros
AMEACA ;S;360;Terça-feira;TARDE;54;N;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
AMEACA , INJURIA ;S;5;Sábado;TARDE;19;S;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
AMEACA ;S;204;Domingo;MANHA;50;S;FUNDAMENTAL;RESIDENCIA;Mais_que_3_registros
INJURIA ;S;60;Terça-feira;TARDE;46;S;SUPERIOR;RESIDENCIA;Entre_1_e_3_registros
AMEACA , VIAS DE FATO ;S;240;Quarta-feira;MADRUGADA;47;S;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
INJURIA ;S;276;Quinta-feira;NOITE;42;S;SUPERIOR;RESIDENCIA;Entre_1_e_3_registros
AMEACA ;S;48;Sexta-feira;NOITE;17;N;FUNDAMENTAL;VIA URBANA;Entre_1_e_3_registros
AMEACA ;S;12;Sábado;TARDE;19;N;MEDIO;RESIDENCIA;Entre_1_e_3_registros
INJURIA REAL ;N;24;Domingo;TARDE;40;S;MEDIO;RESIDENCIA;Entre_1_e_3_registros
AMEACA ;N;120;Domingo;NOITE;31;N;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
AMEACA ;S;288;Segunda-feira;TARDE;44;S;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
AMEACA ;S;338;Terça-feira;NOITE;49;S;MEDIO;RESIDENCIA;Entre_1_e_3_registros
AMEACA ;N;8;Quarta-feira;NOITE;48;S;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
LESAO CORPORAL DOLOSA , AMEACA , ESTUPRO ;N;5;Quinta-feira;MANHA;28;N;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
AMEACA , INJURIA , INJURIA REAL ;N;16;Sexta-feira;MANHA;60;S;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
LESAO CORPORAL DOLOSA ;S;6;Domingo;NOITE;19;S;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
AMEACA , INJURIA ;N;36;Segunda-feira;NOITE;40;N;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
INJURIA ;N;96;Terça-feira;NOITE;39;S;SUPERIOR;RESIDENCIA;Entre_1_e_3_registros
AMEACA , INJURIA ;S;12;Quarta-feira;TARDE;22;S;FUNDAMENTAL;PROPRIEDADE URBANA;Entre_1_e_3_registros
CALUNIA ;S;420;Quinta-feira;TARDE;57;S;FUNDAMENTAL;ASSENTAMENTO RURAL;Entre_1_e_3_registros
AMEACA , INJURIA ;S;156;Sábado;TARDE;30;N;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
FURTO ;S;240;Domingo;NOITE;47;S;FUNDAMENTAL;COMERCIO;Entre_1_e_3_registros
INJURIA ;N;6;Quarta-feira;NOITE;17;N;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
DIFAMACAO ;S;120;Quinta-feira;TARDE;27;N;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
VIAS DE FATO ;N;2;Sexta-feira;TARDE;17;N;MEDIO;RESIDENCIA;Entre_1_e_3_registros
LESAO CORPORAL DOLOSA , INJURIA , VIAS DE FATO ;N;144;Sábado;NOITE;42;N;MEDIO;RESIDENCIA;Entre_1_e_3_registros
VIAS DE FATO ;N;12;Domingo;NOITE;22;N;FUNDAMENTAL;PROPRIEDADE RURAL;Entre_1_e_3_registros
AMEACA , INJURIA , VIAS DE FATO ;N;6;Segunda-feira;NOITE;28;S;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
AMEACA ;N;6;Terça-feira;NOITE;35;S;SUPERIOR;VIA URBANA;Entre_1_e_3_registros
AMEACA , INJURIA ;S;144;Quarta-feira;NOITE;41;S;SUPERIOR;RESIDENCIA;Entre_1_e_3_registros
LESAO CORPORAL DOLOSA , INJURIA ;N;14;Sábado;NOITE;28;N;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
INJURIA ;N;24;Segunda-feira;TARDE;42;S;SUPERIOR;VIA URBANA;Entre_1_e_3_registros
APROPRIACAO INDEBITA ;N;12;Terça-feira;NOITE;22;N;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
INJURIA ;S;132;Quarta-feira;TARDE;37;N;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
INJURIA ;S;192;Quinta-feira;MADRUGADA;29;N;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
AMEACA , INJURIA ;N;24;Sexta-feira;NOITE;39;N;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
AMEACA ;N;1;Domingo;MADRUGADA;21;S;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
LESAO CORPORAL DOLOSA , AMEACA , INJURIA ;N;2;Segunda-feira;MADRUGADA;22;S;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
INJURIA REAL ;S;168;Terça-feira;NOITE;39;N;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
INJURIA ;S;360;Quarta-feira;NOITE;60;N;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
AMEACA , LESOES CORPORAIS RECIPROCAS ;N;36;Sexta-feira;NOITE;25;N;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
AMEACA , INJURIA , VIAS DE FATO ;N;4;Sábado;NOITE;30;S;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
APROPRIACAO INDEBITA ;S;36;Segunda-feira;MANHA;29;N;FUNDAMENTAL;VIA URBANA;Entre_1_e_3_registros
AMEACA , DIFAMACAO ;S;360;Terça-feira;NOITE;46;S;FUNDAMENTAL;RESIDENCIA;Mais_que_3_registros
LESAO CORPORAL DOLOSA , INJURIA ;S;204;Quarta-feira;NOITE;34;S;FUNDAMENTAL;RESIDENCIA;Mais_que_3_registros
AMEACA , INJURIA ;S;168;Sexta-feira;NOITE;34;S;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
LESAO CORPORAL DOLOSA ;S;168;Sábado;MANHA;35;N;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
AMEACA ;S;264;Terça-feira;MANHA;44;S;MEDIO;RESIDENCIA;Entre_1_e_3_registros
AMEACA ;N;36;Quarta-feira;TARDE;32;N;SUPERIOR;RESIDENCIA;Entre_1_e_3_registros
LESAO CORPORAL DOLOSA ;S;24;Sábado;NOITE;32;N;SUPERIOR;RESIDENCIA;Entre_1_e_3_registros
LESAO CORPORAL DOLOSA , AMEACA , VIAS DE FATO ;N;48;Quinta-feira;NOITE;27;N;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
LESAO CORPORAL DOLOSA , AMEACA ;N;84;Sábado;TARDE;41;N;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
LESAO CORPORAL DOLOSA ;N;48;Quarta-feira;MANHA;54;N;MEDIO;RESIDENCIA;Entre_1_e_3_registros
INJURIA ;N;192;Segunda-feira;TARDE;34;S;SUPERIOR;RESIDENCIA;Entre_1_e_3_registros
AMEACA , INJURIA ;S;36;Sábado;TARDE;17;N;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
INJURIA , AMEACA ;N;24;Terça-feira;TARDE;38;S;SUPERIOR;RESIDENCIA;Mais_que_3_registros
INJURIA ;S;360;Domingo;NOITE;56;S;SUPERIOR;RESIDENCIA;Entre_1_e_3_registros
INJURIA , DIFAMACAO , AMEACA ;N;36;Quarta-feira;NOITE;47;S;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
LESAO CORPORAL DOLOSA , AMEACA , INJURIA , FURTO ;N;48;Sábado;NOITE;41;S;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
AMEACA ;S;24;Quinta-feira;TARDE;23;N;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
LESAO CORPORAL DOLOSA , AMEACA , FURTO ;S;96;Sábado;MANHA;38;S;SUPERIOR;CLUBE RECREATIVO / BALNEARIO;Mais_que_3_registros
VIAS DE FATO , AMEACA ;N;24;Sábado;NOITE;28;S;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
AMEACA , INJURIA ;S;36;Domingo;MANHA;33;N;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
AMEACA , INJURIA ;S;24;Domingo;TARDE;29;N;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
INJURIA ;N;84;Domingo;NOITE;37;N;SUPERIOR;VIA URBANA;Entre_1_e_3_registros
AMEACA , INJURIA REAL ;S;120;Domingo;NOITE;34;S;MEDIO;RESIDENCIA;Entre_1_e_3_registros
INJURIA ;S;156;Domingo;NOITE;30;S;SUPERIOR;RESIDENCIA;Mais_que_3_registros
INJURIA , VIAS DE FATO ;S;192;Domingo;NOITE;30;N;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
INJURIA , AMEACA ;S;384;Sexta-feira;TARDE;49;S;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
VIAS DE FATO , INJURIA , AMEACA ;N;108;Sexta-feira;NOITE;48;N;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
AMEACA ;S;360;Domingo;NOITE;46;N;FUNDAMENTAL;RESIDENCIA;Mais_que_3_registros
AMEACA , INJURIA , VIAS DE FATO ;S;96;Domingo;NOITE;36;S;SUPERIOR;RESIDENCIA;Mais_que_3_registros
AMEACA , LESAO CORPORAL DOLOSA , INJURIA ;N;10;Domingo;MADRUGADA;21;N;FUNDAMENTAL;VIA URBANA;Entre_1_e_3_registros
AMEACA , INJURIA REAL ;N;9;Domingo;TARDE;37;S;MEDIO;RESIDENCIA;Entre_1_e_3_registros
LESAO CORPORAL DOLOSA , AMEACA , INJURIA ;S;36;Domingo;TARDE;35;S;SUPERIOR;RESIDENCIA;Entre_1_e_3_registros
AMEACA , INJURIA ;N;2;Domingo;MANHA;40;S;MEDIO;RESIDENCIA;Mais_que_3_registros
INJURIA REAL ;N;108;Domingo;TARDE;54;S;MEDIO;RESIDENCIA;Mais_que_3_registros
